section,field,answer,notes
App Overview,Package Name,com.aruskas.myapp,Harus sama dengan package di Play Console
App Overview,App Name,ArusKas,
Collection and Sharing,Collects user data?,No,Data utama tersimpan lokal di perangkat
Collection and Sharing,Shares user data?,No,Tidak ada sharing otomatis ke server developer/third-party
Security,Data encrypted in transit?,Not applicable,Tidak ada pengiriman data ke server developer
Deletion,User data deletion request mechanism?,Yes (local-device deletion),Pengguna bisa hapus data aplikasi / uninstall
Data Types,Personal info - Name,Processed locally only,Disimpan lokal untuk profil pengguna
Data Types,Financial info - Income/Expense,Processed locally only,Disimpan lokal untuk fitur pencatatan keuangan
Data Types,App activity analytics,No,Tidak ada SDK analytics terdeteksi
Data Types,Advertising/Tracking IDs,No,Tidak ada SDK iklan/tracker terdeteksi
Feature Notes,PDF Export,Yes (user-initiated),File PDF dibuat lokal lalu dibagikan jika pengguna memilih share
Feature Notes,Internet permission,Yes,Digunakan untuk operasional komponen aplikasi
Policy URL,Privacy Policy URL,https://YOUR_PUBLIC_PRIVACY_POLICY_URL,Ganti dengan URL publik HTTPS
Release Validation,Consistent with Privacy Policy?,Required,Pastikan form Data Safety konsisten dengan kebijakan privasi
Release Validation,Update Data Safety if features change?,Required,Wajib update jika tambah analytics/ads/login/cloud sync
